,EQ_ID,Lon,Lat,Depth,Mag
142,000081,-71.51967,-32.61636,37.39,7.6
143,000081_2,-72.47101,-31.90845,8.27,7.2
144,000082,-72.37851,-35.17105,33.0,8.1
145,000082_2,-74.11583,-43.49684,32.62,7.2
146,000083,-72.63826,-32.87205,6.36,7.8
147,000083_2,-73.47732,-38.12428,29.78,7.3
148,000084,-71.18537,-20.62234,8.67,7.8
149,000084_2,-72.60484,-36.34451,45.04,7.1
150,000085,-74.51883,-38.96369,10.68,7.8
151,000085_2,-72.342,-33.40039,14.78,7.3
152,000086,-69.98747,-22.30235,43.73,7.7
153,000086_2,-70.92435,-20.43194,17.77,7.0
154,000087,-72.56944,-34.7307,21.45,7.8
155,000087_2,-71.90588,-29.97746,18.81,6.9
156,000088,-73.96506,-40.72596,26.21,7.9
157,000088_2,-71.20381,-23.54898,10.41,7.0
158,000089,-74.30146,-41.75037,21.42,7.9
159,000089_2,-71.77577,-31.79123,26.98,7.2
160,000090,-72.13224,-33.70387,21.37,7.8
161,000090_2,-72.65075,-33.66545,10.35,7.1
162,000091,-71.51967,-32.61636,37.39,7.7
163,000092,-71.05882,-19.38459,22.5,7.7
164,000092_2,-72.47362,-35.33305,33.0,6.9
165,000093,-73.25225,-41.19858,52.79,7.6
166,000093_2,-71.84713,-18.63103,15.24,7.2
167,000094_2,-72.03997,-31.74115,18.97,7.2
168,000095,-74.55745,-40.44662,13.41,7.9
169,000095_2,-72.94366,-36.07538,31.51,7.3
170,000096,-70.98676,-21.04415,14.0,7.8
171,000097,-70.05051,-23.41205,43.7,7.9
172,000097_2,-71.39812,-25.50167,11.13,7.1
173,000098,-71.1568,-29.12007,40.27,7.6
174,000098_2,-73.62372,-41.9968,43.66,7.1
175,000099,-70.07106,-22.9048,41.41,7.7
176,000099_2,-73.94212,-43.91678,39.29,7.0
177,000100,-73.9134,-42.60404,37.15,8.0
178,000100_2,-75.07316,-41.08943,7.18,7.1
179,000101,-74.35619,-42.10601,21.47,7.8
180,000101_2,-73.71755,-42.67091,44.96,7.2
181,000102,-71.29408,-32.86538,46.94,7.8
182,000102_2,-72.76371,-38.03228,51.5,7.2
183,000103,-70.66518,-20.73908,22.91,7.9
184,000103_2,-72.19569,-32.57374,15.93,7.1
185,000104,-72.466,-36.33019,49.69,7.9
186,000104_2,-71.10541,-27.01018,21.26,7.2
187,000105,-74.98332,-39.8629,5.95,7.9
188,000105_2,-70.65212,-23.74559,25.9,7.2
189,000106,-69.97522,-22.75614,44.63,7.8
190,000106_2,-73.45159,-37.78831,28.78,7.1
191,000107,-72.09513,-32.81899,18.9,7.7
192,000107_2,-70.73504,-27.34168,36.97,7.1
193,000108,-70.67064,-26.99442,37.21,7.9
194,000108_2,-75.13137,-40.43792,5.19,7.3
195,000109,-70.42146,-23.82131,33.04,7.6
196,000110,-70.65971,-27.64418,43.17,7.9
197,000110_2,-70.75081,-25.22049,28.78,7.1
198,000111,-72.75407,-35.04782,21.45,7.9
199,000111_2,-73.53349,-40.74694,40.23,7.3
200,000112,-70.87002,-29.06535,52.47,7.7
201,000112_2,-72.60484,-36.34451,45.04,7.4
202,000113,-71.9453,-30.33384,18.68,7.7
203,000113_2,-73.44529,-35.98112,19.01,7.1
204,000114,-70.46846,-25.10318,37.91,7.6
205,000114_2,-74.80633,-41.38543,11.48,7.0
206,000115,-72.31466,-30.86272,10.79,7.9
207,000115_2,-72.1002,-34.26652,27.77,6.9
208,000116,-71.83332,-29.08612,17.16,7.8
209,000116_2,-71.31645,-24.41534,10.74,7.3
210,000117,-70.75494,-26.52243,30.87,7.9
211,000117_2,-70.26992,-22.08325,33.25,7.3
212,000118,-72.11388,-34.69444,33.35,7.8
213,000119,-70.39339,-20.77881,31.35,8.0
214,000119_2,-71.24549,-31.48176,49.45,7.3
215,000120,-70.29075,-26.33851,50.27,7.9
216,000120_2,-71.53856,-19.36801,10.78,7.2
217,000121,-72.15322,-30.16777,12.81,7.8
218,000121_2,-73.79367,-40.95011,31.9,7.4
219,000122,-71.8232,-29.46659,19.07,7.8
220,000123,-70.03437,-21.90191,42.02,7.9
221,000123_2,-74.14782,-39.06111,18.2,7.1
222,000124,-70.76676,-21.54239,19.05,7.9
223,000124_2,-71.34781,-30.21025,40.35,7.0
224,000125,-71.36676,-32.12559,43.57,7.8
225,000125_2,-74.67885,-38.80739,7.3,7.1
226,000126,-71.91535,-18.5671,14.75,7.6
227,000126_2,-70.17279,-24.83086,47.04,7.3
228,000127,-70.03605,-23.16154,43.39,7.8
229,000127_2,-70.90834,-23.49645,18.77,7.1
230,000128,-73.25648,-34.86252,11.5,8.0
231,000128_2,-71.01989,-28.19613,33.65,7.2
232,000129,-71.73077,-27.29686,8.48,7.8
233,000129_2,-70.11553,-23.48726,41.71,6.9
234,000130,-70.1989,-26.09301,52.78,7.9
235,000130_2,-74.35957,-37.57337,9.83,7.2
236,000131,-70.60349,-23.9904,28.25,7.5
237,000132,-72.8537,-35.20488,21.44,7.6
238,000133_2,-69.77084,-21.55291,53.32,7.3
239,000134,-70.67093,-27.26086,39.21,7.5
240,000134_2,-74.41738,-37.76203,9.16,7.1
241,000135,-71.76446,-30.58798,25.0,7.8
242,000135_2,-73.15529,-35.35516,18.04,7.3
243,000136,-74.64813,-39.6923,10.54,7.7
244,000136_2,-71.56376,-34.07762,44.1,7.1
245,000137,-73.51864,-39.90454,39.23,7.6
246,000138,-74.4065,-38.78352,12.33,8.1
247,000138_2,-69.96383,-23.44022,46.88,7.2
248,000139_2,-73.87406,-37.25711,18.44,7.1
249,000140,-71.54887,-19.45711,8.81,7.7
250,000140_2,-70.41564,-25.71406,41.91,7.1
251,000141,-71.32377,-32.04148,45.52,7.6
252,000141_2,-72.36771,-32.56613,11.77,7.2
253,000142,-70.2293,-19.94456,43.7,7.9
254,000142_2,-71.30209,-32.37826,46.37,7.1
255,000143,-74.40318,-40.37559,15.77,7.7
256,000143_2,-71.43756,-30.65684,38.33,7.1
257,000144,-70.17653,-21.94223,36.55,7.7
258,000144_2,-73.81484,-41.36583,33.02,7.2
259,000145,-73.84194,-36.17766,12.58,7.9
260,000145_2,-70.35464,-21.13089,31.38,7.2
261,000146,-72.25759,-30.59827,11.28,7.5
262,000146_2,-71.16545,-27.61662,23.14,7.2
263,000147,-71.16463,-28.89654,37.08,7.9
264,000147_2,-74.40679,-37.22143,7.39,7.3
265,000148,-72.74535,-34.82448,19.12,7.6
266,000148_2,-71.16545,-27.61662,23.14,7.1
267,000149,-71.35119,-31.87834,44.3,7.6
268,000150,-71.27188,-29.66419,40.36,7.8
269,000150_2,-70.48183,-23.89276,31.47,7.2
270,000151,-72.03688,-30.98964,17.71,7.8
271,000151_2,-70.85663,-25.85119,25.62,7.2
272,000152,-72.98385,-36.74539,36.47,7.8
273,000152_2,-73.45905,-41.11952,44.27,7.0
274,000153,-70.32354,-22.16174,31.49,7.6
275,000153_2,-74.18145,-37.74153,14.0,6.8
276,000154,-74.03024,-42.59958,32.98,8.1
277,000154_2,-71.26483,-29.50447,39.4,7.3
278,000155,-72.90464,-34.71266,15.8,7.6
279,000155_2,-72.00158,-32.83967,21.45,7.0
280,000156,-70.70992,-19.65565,29.47,8.0
281,000156_2,-72.55085,-32.805,8.07,6.8
282,000157,-71.50758,-30.10379,32.78,7.8
283,000157_2,-70.40472,-19.98257,36.56,7.3
284,000158,-74.21675,-39.48238,17.75,7.6
285,000158_2,-74.34007,-39.76686,15.82,7.1
286,000159,-70.41846,-24.50502,36.63,7.8
287,000159_2,-72.86595,-36.35398,37.01,7.3
288,000160,-73.45776,-36.32087,21.74,7.8
289,000160_2,-74.33078,-39.19036,14.7,7.1
290,000161,-69.93858,-20.15306,53.69,7.6
291,000161_2,-71.49683,-25.88236,8.68,7.3
292,000162,-73.85204,-39.34012,26.29,7.6
293,000162_2,-72.15322,-30.16777,12.81,7.3
294,000163_2,-74.40318,-40.37559,15.77,7.0
295,000164,-72.76044,-37.04745,45.35,7.9
296,000164_2,-70.32433,-23.30501,34.01,7.1
297,000165,-71.96726,-30.67815,19.02,7.6
298,000165_2,-71.28203,-26.56675,15.93,7.3
299,000166,-73.69176,-43.06529,48.1,7.8
300,000166_2,-71.16142,-24.30898,15.37,7.1
301,000167,-74.13815,-36.69771,10.63,7.8
302,000167_2,-73.85524,-36.0881,11.32,6.9
303,000168,-71.28173,-28.40649,26.6,7.7
304,000168_2,-71.45884,-18.04674,36.67,7.5
305,000169,-71.66901,-33.87776,37.53,7.5
306,000169_2,-74.52608,-42.53505,18.54,7.3
307,000170,-73.52893,-36.49365,21.43,7.8
308,000170_2,-73.14842,-37.23658,33.93,7.4
309,000171,-73.87493,-42.3032,36.64,7.5
310,000172,-72.10593,-32.16001,17.82,7.9
311,000172_2,-73.3882,-38.43176,33.9,7.5
312,000173,-73.73476,-36.21942,15.34,7.7
313,000173_2,-70.99059,-26.55397,22.63,7.3
314,000174,-71.35839,-32.29309,43.91,7.7
315,000174_2,-74.22649,-43.03661,27.93,6.9
316,000175,-70.89132,-19.83417,22.51,8.0
317,000175_2,-69.81255,-22.28952,50.64,7.2
318,000176,-71.23691,-19.64132,15.9,7.6
319,000176_2,-74.50165,-39.83141,13.18,6.8
320,000177,-69.87021,-22.52684,48.39,7.9
321,000177_2,-72.51568,-31.8233,7.12,7.3
322,000178,-71.76446,-30.58798,25.0,7.8
323,000178_2,-71.35781,-29.25052,33.14,7.1
324,000179,-72.29179,-35.36908,39.34,7.9
325,000179_2,-71.14009,-25.34225,18.19,7.2
326,000180,-71.45218,-28.40396,21.33,8.2
327,000180_2,-74.01368,-37.37115,16.28,7.2
328,000181,-73.9651,-41.25974,27.98,7.8
329,000182,-70.65292,-20.21443,26.19,7.9
330,000182_2,-72.4702,-33.79189,14.73,6.8
331,000183,-73.73191,-37.5707,22.01,8.0
332,000183_2,-71.50704,-26.05327,8.8,7.2
333,000184,-72.00158,-32.83967,21.45,7.7
334,000184_2,-74.19905,-38.76544,16.38,7.3
335,000185,-71.1317,-19.73419,17.69,7.5
336,000185_2,-75.07316,-41.08943,7.18,7.2
337,000186,-74.16471,-41.32408,23.01,7.9
338,000186_2,-70.07121,-23.32198,42.65,7.3
339,000187,-74.88458,-40.23641,8.32,7.7
340,000187_2,-70.3769,-25.11155,41.24,7.2
341,000188,-73.52766,-41.83663,46.09,7.8
342,000188_2,-71.27165,-26.21674,15.46,7.2
343,000189,-70.90834,-23.49645,18.77,7.8
344,000189_2,-71.88735,-29.80338,18.75,7.2
345,000190,-69.92378,-21.78571,46.57,7.9
346,000190_2,-72.36771,-32.56613,11.77,7.0
347,000191,-70.75279,-23.39785,22.15,7.6
348,000191_2,-73.88326,-40.05053,27.45,7.4
349,000192,-70.32961,-24.03038,37.0,7.8
350,000192_2,-73.18778,-36.35319,28.06,7.2
351,000193,-71.3129,-32.20246,45.94,7.9
352,000193_2,-74.41738,-37.76203,9.16,7.3
353,000194,-71.62648,-18.91007,15.75,7.8
354,000194_2,-74.3436,-42.36227,22.62,7.1
355,000195,-74.31695,-42.19365,22.71,7.8
356,000195_2,-71.62953,-19.31219,9.26,7.3
357,000196_2,-71.34422,-31.25175,44.29,7.2
358,000197,-71.37826,-27.02603,15.51,7.5
359,000197_2,-70.40136,-27.05451,50.34,6.9
360,000198,-70.82239,-21.99846,18.08,7.6
361,000198_2,-70.60551,-19.74573,31.92,7.3
362,000200_2,-73.99523,-43.85725,37.18,7.1
363,000201,-71.50253,-31.54907,37.49,7.7
364,000201_2,-71.56583,-18.53942,21.72,7.3
365,000202,-71.52594,-29.37147,27.75,7.6
366,000202_2,-73.12016,-34.837,13.55,7.0
367,000203_2,-73.83611,-37.33807,19.32,7.5
368,000204,-71.43324,-28.61751,24.09,7.8
369,000204_2,-72.87912,-35.88604,30.73,7.4
370,000205,-70.4464,-26.67583,45.38,7.8
371,000205_2,-71.25575,-33.69341,52.51,7.1
372,000206,-72.91666,-36.17436,33.53,7.7
373,000206_2,-73.45049,-39.22,37.93,7.0
374,000207,-70.12514,-21.47767,39.04,7.9
375,000207_2,-72.48349,-31.46969,7.46,7.1
376,000208,-70.41396,-20.37302,33.0,7.7
377,000208_2,-70.99092,-25.58177,21.66,7.0
378,000209,-74.23231,-39.58174,17.64,8.0
379,000209_2,-73.42051,-40.79024,44.56,7.0
380,000210,-71.58459,-27.05363,10.48,7.7
381,000210_2,-70.62248,-26.63901,37.0,7.1
382,000211,-72.40863,-31.18558,8.61,7.9
383,000211_2,-73.21513,-38.38357,38.66,7.1
384,000212,-72.10012,-30.63006,15.62,7.8
385,000212_2,-73.54056,-38.47683,30.21,7.0
386,000213,-73.77747,-41.19042,33.37,7.7
387,000213_2,-73.95585,-38.74581,21.66,7.1
388,000214,-71.2557,-24.85099,14.45,7.7
389,000214_2,-71.2673,-23.79761,9.06,7.2
390,000215,-73.22679,-40.86889,52.67,7.8
391,000215_2,-71.42997,-31.65223,40.77,7.1
392,000216,-73.13303,-38.1298,39.34,7.9
393,000216_2,-70.80906,-22.61439,19.01,7.0
394,000217,-73.37023,-40.44445,45.97,7.8
395,000217_2,-74.12634,-43.05254,31.37,7.1
396,000218,-70.8327,-24.09373,22.47,7.4
397,000218_2,-73.87521,-41.72063,33.0,7.3
398,000219,-74.88579,-40.80624,9.13,8.0
399,000219_2,-74.08335,-40.57397,22.84,7.0
400,000220_2,-73.54056,-38.47683,30.21,7.3
401,000221,-70.63687,-27.08959,39.45,8.0
402,000221_2,-70.66608,-25.48081,31.92,7.2
403,000222,-72.95997,-37.12697,39.06,7.9
404,000222_2,-72.25556,-29.98743,9.78,7.1
405,000223,-71.09014,-19.66156,19.13,7.7
406,000223_2,-70.17279,-24.83086,47.04,7.3
407,000224,-72.59235,-33.90494,13.47,7.6
408,000224_2,-71.15273,-19.5219,18.86,7.2
409,000225,-73.16106,-39.3956,50.44,7.8
410,000225_2,-72.20721,-31.18016,13.64,7.3
411,000226,-71.83511,-31.50381,24.66,7.7
412,000226_2,-72.65909,-34.5669,18.25,7.1
413,000227,-73.63926,-37.90814,25.13,7.9
414,000227_2,-72.31264,-33.24083,14.73,7.3
415,000228,-70.43152,-21.4684,28.2,7.9
416,000228_2,-74.4081,-42.79697,22.33,7.2
417,000229,-71.70681,-32.00538,29.82,7.8
418,000230_2,-72.04072,-29.09361,12.03,7.3
419,000231,-74.04383,-39.44912,21.76,8.0
420,000231_2,-74.40569,-42.45077,21.38,7.1
421,000232,-73.62967,-41.28892,38.84,7.9
422,000232_2,-71.12164,-28.01139,27.88,7.2
423,000233,-70.0177,-22.09025,42.55,7.6
424,000233_2,-71.54887,-19.45711,8.81,7.2
425,000234,-71.17185,-26.80552,18.88,7.8
426,000234_2,-74.13967,-40.49988,21.38,7.3
427,000235,-70.24644,-20.43481,38.76,7.8
428,000235_2,-72.48682,-35.98533,43.99,7.3
429,000236_2,-73.9134,-42.60404,37.15,7.2
430,000237,-73.2959,-34.6959,9.18,7.8
431,000237_2,-71.99054,-31.04993,19.02,7.3
432,000238,-74.43064,-41.44468,17.5,8.0
433,000238_2,-71.24205,-25.22838,15.63,7.2
434,000239_2,-71.83209,-33.73336,30.35,7.4
435,000240_2,-74.02442,-38.09361,18.11,7.1
436,000241,-73.60029,-35.94885,15.56,7.7
437,000241_2,-71.69221,-29.24248,21.48,7.0
438,000242,-73.36221,-39.97884,45.6,7.8
439,000242_2,-71.07112,-23.61522,15.06,7.2
440,000243,-70.87993,-26.40527,25.73,7.6
441,000243_2,-73.08098,-37.70752,38.15,7.0
442,000244,-71.21536,-32.19821,50.42,7.6
443,000244_2,-71.22848,-24.66827,14.81,7.1
444,000245,-72.35503,-34.0504,19.1,7.6
445,000245_2,-73.88326,-40.05053,27.45,7.1
446,000246,-72.85682,-33.79156,7.71,7.8
447,000246_2,-72.27324,-32.52642,13.97,7.2
448,000247,-71.83511,-31.50381,24.66,7.8
449,000247_2,-72.10489,-30.72396,15.73,7.0
450,000248_2,-70.911,-21.32001,15.94,7.6
451,000249,-71.28173,-28.40649,26.6,7.8
452,000249_2,-72.30886,-29.89422,8.07,7.2
453,000250,-72.9533,-35.1572,19.1,7.5
454,000250_2,-74.11938,-40.16926,21.43,7.1
455,000251,-74.61793,-43.40093,18.12,7.7
456,000251_2,-73.73742,-41.9819,39.36,7.2
457,000252,-74.98332,-39.8629,5.95,7.8
458,000252_2,-73.58319,-35.45062,10.67,7.3
459,000253,-72.24246,-33.29352,16.49,7.9
460,000253_2,-74.50361,-41.60028,16.44,7.2
461,000254,-71.66501,-29.12551,21.48,7.6
462,000254_2,-73.84194,-36.17766,12.58,7.1
463,000255,-72.65893,-34.88965,21.45,8.0
464,000255_2,-70.60974,-24.75976,31.71,7.0
465,000256,-70.3865,-26.31152,45.71,7.8
466,000256_2,-74.66493,-41.64964,13.91,7.2
467,000257,-74.00013,-35.96071,6.62,7.9
468,000257_2,-69.93481,-23.53606,48.27,7.3
469,000258,-73.36142,-40.06276,45.83,8.0
470,000258_2,-72.58571,-32.70539,7.0,7.2
471,000259_2,-70.33098,-22.31186,31.36,7.3
472,000260,-73.66221,-41.4834,38.78,7.9
473,000260_2,-74.34237,-38.12155,11.97,7.0
474,000261,-73.69176,-43.06529,48.1,7.9
475,000261_2,-70.11247,-24.73285,48.56,7.1
476,000262,-71.65669,-29.48908,24.16,7.9
477,000262_2,-71.43415,-31.28888,40.16,7.2
478,000263,-72.31264,-33.24083,14.73,7.9
479,000263_2,-73.80789,-40.52909,30.43,7.2
480,000264,-73.07257,-36.38008,31.32,7.7
481,000264_2,-74.11583,-43.49684,32.62,7.1
482,000265,-72.75797,-34.36132,14.84,8.0
483,000265_2,-70.5454,-22.46066,25.18,7.1
484,000266,-71.42651,-29.34843,31.28,7.9
485,000266_2,-69.95224,-21.69094,45.55,7.0
486,000267,-74.56032,-43.14386,19.06,7.9
487,000267_2,-72.81231,-34.58059,16.01,7.4
488,000268,-73.34733,-39.25718,41.88,7.8
489,000268_2,-70.64337,-22.41733,22.49,7.1
490,000269,-73.65393,-37.235,22.38,7.8
491,000269_2,-71.42233,-33.3866,43.07,7.1
492,000270,-72.78913,-36.27677,38.46,7.8
493,000270_2,-72.50053,-34.26645,18.23,7.0
494,000271,-70.77502,-23.88054,23.14,7.6
495,000271_2,-70.2635,-21.72936,33.56,6.9
496,000272,-73.77786,-40.38023,31.09,7.6
497,000273,-72.1091,-33.01095,18.89,7.6
498,000273_2,-69.98747,-22.30235,43.73,7.2
499,000274,-71.07468,-23.19809,13.75,8.0
500,000274_2,-70.30763,-22.79448,33.03,7.3
501,000275,-73.70963,-40.13858,33.0,7.7
502,000275_2,-73.24358,-35.815,21.36,7.2
503,000276,-71.36676,-32.12559,43.57,7.9
504,000276_2,-72.12451,-35.29634,43.72,7.1
505,000277,-72.45078,-33.63943,14.02,7.8
506,000277_2,-74.69584,-39.3457,8.79,6.6
507,000278,-73.62185,-36.20265,17.48,7.9
508,000278_2,-71.87858,-31.83079,23.81,7.1
509,000279,-73.29843,-36.59731,27.17,7.8
510,000279_2,-71.31411,-33.08844,46.51,7.3
511,000280,-73.14684,-38.58211,42.56,7.5
512,000280_2,-73.80669,-43.78247,44.75,6.9
513,000281,-74.77285,-41.09259,11.31,7.7
514,000281_2,-74.728,-38.70287,6.07,6.9
515,000282,-73.26306,-34.48688,7.66,7.7
516,000282_2,-73.01525,-37.94585,41.78,7.4
517,000283,-70.92926,-27.84006,33.33,7.8
518,000283_2,-70.08835,-25.11738,51.82,7.0
519,000284,-70.87949,-22.54823,17.37,7.7
520,000284_2,-70.879,-20.60158,18.03,7.3
521,000285,-73.93996,-36.32035,11.91,7.8
522,000285_2,-74.12636,-40.33652,21.47,7.0
523,000286,-72.27057,-35.20743,37.04,7.7
524,000286_2,-73.77664,-39.90145,30.4,7.2
525,000287,-72.85227,-34.82867,17.6,7.7
526,000287_2,-71.38018,-25.25829,11.09,7.2
527,000288,-71.51967,-32.61636,37.39,7.7
528,000288_2,-70.4929,-25.67439,38.73,7.1
529,000289,-74.39671,-39.84841,14.97,7.7
530,000289_2,-73.15941,-39.63618,52.64,7.0
531,000290,-73.28576,-37.18114,30.16,7.8
532,000290_2,-74.34584,-42.70451,23.66,7.4
533,000291,-73.89332,-40.35901,27.56,7.5
534,000292,-69.73932,-22.44823,53.52,7.9
535,000292_2,-73.41284,-41.81899,50.41,7.0
536,000293,-70.65385,-25.91093,32.91,7.8
